Id,LotFrontage,LotArea,LotShape,Utilities,LandSlope,OverallQual,OverallCond,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MoSold,SalePrice,SalePrice_Log,TotalEffectiveSF,HouseAge,RemodAge,IsRemodeled,HasPool,HasMiscFeature,IsNonFlatLot,Has_Pos_Amenity,Has_Traffic_Disturbance,Has_Railroad_Disturbance,Is_Standard_Roof,Is_GasA_Heating,HouseStyle_Stories,Is_Split_Layout,Is_New_Construction,Is_Distressed_Sale,Is_Normal_Sale,Nbhd_bit0,Nbhd_bit1,Nbhd_bit2,Nbhd_bit3,Nbhd_bit4,MSSubClass_160,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSSubClass_Other,MSZoning_Other,MSZoning_RH,MSZoning_RL,MSZoning_RM,Street_Pave,Alley_Missing,Alley_Pave,LotConfig_CulDSac,LotConfig_FR2,LotConfig_Inside,LotConfig_Other,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,RoofStyle_Hip,RoofStyle_Other,Exterior1st_BrkFace,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Other,Exterior1st_Plywood,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_BrkFace,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkFace,MasVnrType_Missing,MasVnrType_Stone,Foundation_CBlock,Foundation_Other,Foundation_PConc,Foundation_Slab,CentralAir_Y,Electrical_FuseF,Electrical_Other,Electrical_SBrkr,GarageType_Basment,GarageType_BuiltIn,GarageType_Detchd,GarageType_Missing,GarageType_Other,MiscFeature_Other,MiscFeature_Shed,LandContour_HLS,LandContour_Low,LandContour_Lvl
1,65.0,8450,4,4,3,7,5,196.0,4,3,4,3,1,6,706,1,0,150,856,5,856,854,0,1710,1,0,2,1,3,1,4,7,0,0,2,2,3,3,3,0,61,0,0,0,0,0,0,0,2,208500,12.24769911637256,2627,5,5,0,0,0,0,0,0,0,1,1,2.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,80.0,9600,4,4,3,6,8,0.0,3,3,4,3,4,5,978,1,0,284,1262,5,1262,0,0,1262,0,1,2,0,3,1,3,7,1,3,2,2,3,3,3,298,0,0,0,0,0,0,0,0,5,181500,12.109016442313738,2822,31,31,0,0,0,0,0,1,0,1,1,1.0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
3,68.0,11250,3,4,3,7,5,162.0,4,3,4,3,2,6,486,1,0,434,920,5,920,866,0,1786,1,0,2,1,3,1,4,7,1,3,2,2,3,3,3,0,42,0,0,0,0,0,0,0,9,223500,12.317171167298682,2748,7,6,1,0,0,0,0,0,0,1,1,2.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4,60.0,9550,3,4,3,7,5,0.0,3,3,3,4,1,5,216,1,0,540,756,4,961,756,0,1717,1,0,1,0,3,1,4,7,1,4,1,3,3,3,3,0,35,272,0,0,0,0,0,0,2,140000,11.849404844423074,2780,91,36,1,0,0,0,0,0,0,1,1,2.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
5,84.0,14260,3,4,3,8,5,350.0,4,3,4,3,3,6,655,1,0,490,1145,5,1145,1053,0,2198,1,0,2,1,4,1,4,7,1,3,2,3,3,3,3,192,84,0,0,0,0,0,0,0,12,250000,12.429220196836384,3619,8,8,0,0,0,0,0,0,0,1,1,2.0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
6,85.0,14115,3,4,3,5,5,0.0,3,3,4,3,1,6,732,1,0,64,796,5,796,566,0,1362,1,0,1,1,1,1,3,7,0,0,1,2,3,3,3,40,30,0,320,0,0,0,3,700,10,143000,11.870606902224589,2548,16,14,1,0,1,0,0,0,0,1,1,1.5,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
7,75.0,10084,4,4,3,8,5,186.0,4,3,5,3,3,6,1369,1,0,317,1686,5,1694,0,0,1694,1,0,2,0,3,1,4,7,1,4,2,2,3,3,3,255,57,0,0,0,0,0,0,0,8,307000,12.63460628389302,3692,3,2,1,0,0,0,0,0,0,1,1,1.0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
8,70.04995836802665,10382,3,4,3,7,6,240.0,3,3,4,3,2,5,859,4,32,216,1107,5,1107,983,0,2090,1,0,2,1,3,1,3,7,2,3,2,2,3,3,3,235,204,228,0,0,0,0,0,350,11,200000,12.206077645517674,3864,36,36,0,0,1,0,1,0,0,1,1,2.0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
9,51.0,6120,4,4,3,7,5,0.0,3,3,3,3,1,1,0,1,0,952,952,4,1022,752,0,1774,0,0,2,0,2,2,3,6,2,3,1,2,2,3,3,90,0,205,0,0,0,0,0,0,4,129900,11.774527900858468,3021,77,58,1,0,0,0,0,1,0,1,1,1.5,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
10,50.0,7420,4,4,3,5,6,0.0,3,3,3,3,1,6,851,1,0,140,991,5,1077,0,0,1077,1,0,1,0,2,2,3,7,2,3,2,1,4,3,3,0,4,0,0,0,0,0,0,0,1,118000,11.678448377988165,2072,69,58,1,0,0,0,0,1,0,1,1,1.25,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
